,cat1,cat2,name,資料範圍,繪製者（學號_姓名）,href,dep,date,type,複分類
FALSE,人身安全與司法,服務人力,各級檢察機關檢察官人數統計 *,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=ZNCeBjY7gT3UmeTP29nXCg%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,法務部,2022-04-12,互動式查詢,年度別，性別，檢察員工職業類別
FALSE,人身安全與司法,性侵害,地方檢察署性侵害案件-偵查新收人數,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=wQcbnPPx3PRC%248IuM3m8AA%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,法務部,2022-04-12,互動式查詢,性別，收案情形，年度別
TRUE,人身安全與司法,性侵害,地方檢察署性侵害案件-不起訴人數,2014-2023,R12342015_李珈彤,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=s1oKFVrbMDACz7tDRVBmtQ%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,法務部,2022-04-12,互動式查詢,性別，不起訴理由，年度別
FALSE,人身安全與司法,人身安全,地方檢察署執行暴力犯罪裁判確定有罪人數統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=RZa5nxlDm0EUaSdR1AFFTQ%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,法務部,2022-04-12,互動式查詢,年度別，性別，罪名別
FALSE,人身安全與司法,家庭暴力,地方檢察署處理家庭暴力案件檢察官聲請羈押法院裁定情形,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=7afUyIta7pSM5S6pIk8m7w%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,法務部,2022-04-12,互動式查詢,性別，年度別，家暴罪名細分別，強制處分別
FALSE,人身安全與司法,家庭暴力,地方檢察署處理家庭暴力案件檢察官諭知被告強制處分情形,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=zpgroNmJI5w7ZHGXpdYStA%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,法務部,2022-04-12,互動式查詢,性別，強制處分別，年度別，家暴罪名細分別
FALSE,人身安全與司法,家庭暴力,地方檢察署執行家庭暴力案件裁判確定人數,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=iGq7Sf18NUSThfkHT6JJ%24w%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,法務部,2022-04-12,互動式查詢,年度別，性別，刑度別，家暴罪名細分別
FALSE,人身安全與司法,性侵害,性侵害案件受刑人假釋出獄人數,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=f1oYRKWt29rlHNl%24vj6hNQ%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,法務部,2022-04-12,互動式查詢,年度別，性別，出獄原因
FALSE,人身安全與司法,性侵害,性侵害案件受刑人人數,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=pULsmtb4oxJ66InBv94kRg%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,法務部,2022-04-12,互動式查詢,年度別，性別
FALSE,人身安全與司法,性侵害,地方檢察署偵查性侵害案件終結人數,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=a0HGyxnkWwTs7AI94CkoZA%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,法務部,2022-04-12,互動式查詢,年度別，終結情形別，性別
FALSE,人身安全與司法,服務人力,各級檢察機關檢察官人數統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=ZNCeBjY7gT3UmeTP29nXCg%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,法務部,2022-04-12,互動式查詢,年度別，性別，檢察員工職業類別
FALSE,人身安全與司法,人身安全,地方檢察署執行裁判確定有罪案件罪名,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=p%24Hy1Tg!t5fVCNw7Mh1eEQ%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,法務部,2022-04-12,互動式查詢,年度別，罪名別，性別
FALSE,人身安全與司法,人身安全,地方檢察署偵查暴力犯罪起訴人數統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=ZuBpZLGAd%24Gp9h4BI4saqQ%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,法務部,2022-04-12,互動式查詢,年度別，罪名別，性別
FALSE,人身安全與司法,人身安全,地方檢察署偵查案件終結起訴罪名與人數,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=EulRQQyG7bA8yqR9LykyJg%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,法務部,2022-04-12,互動式查詢,性別，罪名別，年度別
FALSE,人身安全與司法,矯正與司法保護,地方檢察署申請犯罪被害補償金終結事件決定補償金額,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=iKAnNFeNo4Mol9p3g3l9lg%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,法務部,2022-04-12,互動式查詢,年度別，被害補償金類別，性別
FALSE,人身安全與司法,矯正與司法保護,地方檢察署申請犯罪被害補償金終結事件決定補償人數,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=!p5qfjjjG9!odnxCbEfEvw%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,法務部,2022-04-12,互動式查詢,年度別，性別，被害補償金類別
FALSE,人身安全與司法,矯正與司法保護,地方檢察署犯罪被害補償事件終結件數,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=o0baaX7OGxxUVEgV4MHyjw%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,法務部,2022-04-12,互動式查詢,年度別，補償類別，被害補償金類別
FALSE,人身安全與司法,矯正與司法保護,地方檢察署犯罪被害補償事件新收件數,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=dCVITLZRFgvjJwFujT8%24iQ%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,法務部,2022-04-12,互動式查詢,年度別，補償類別，被害補償金類別
FALSE,人身安全與司法,矯正與司法保護,地方檢察署緩起訴社區處遇案件終結件數,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=VC2icxw!taIISrD8VVE5fg%40%40&d=194q2o4!otzoYO!8OAMYew%40%40,法務部,2022-04-12,互動式查詢,年度別，終結情形別
FALSE,人身安全與司法,矯正與司法保護,地方檢察署緩起訴社區處遇案件新收件數,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=SyfJlx%24bF%24!jhSh!OzbI!Q%40%40&d=194q2o4!otzoYO!8OAMYew%40%40,法務部,2022-04-12,互動式查詢,年度別，觀護類別
FALSE,人身安全與司法,矯正與司法保護,監獄假釋出獄受刑人撤銷假釋人數,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=CEL3ME1qA7jXg8DID2vNDw%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,法務部,2022-04-12,互動式查詢,年度別，撤銷假釋原因別，性別
FALSE,人身安全與司法,矯正與司法保護,少年矯正學校新入校受感化教育學生人數,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=3dvZhBAIIbGodIEdW5rMbw%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,法務部,2022-04-12,互動式查詢,年度別，罪名別，性別
FALSE,人身安全與司法,矯正與司法保護,監獄在監暴力犯罪受刑人人數,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=li4gllrM84Tn6Xl3XRh!Mg%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,法務部,2022-04-12,互動式查詢,年度別，罪名別，性別
FALSE,人身安全與司法,矯正與司法保護,監獄新入監暴力犯罪受刑人人數,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=q0wD%24l5R5shVy8TqjM2bqg%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,法務部,2022-04-12,互動式查詢,年度別，罪名別，性別
FALSE,人身安全與司法,人身安全,113保護專線諮詢人次統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=5BxWOFOG2AG0Y5zeZMcSdA%40%40&d=194q2o4!otzoYO!8OAMYew%40%40,衛生福利部,2022-05-12,互動式查詢,年度別，縣市別，案件類別
TRUE,人身安全與司法,家庭暴力,家庭暴力事件通報被害人籍別統計,2005-2024,r13342019_梁鈺杰,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=XVqraRmlyXKm6grfpbu!WQ%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,衛生福利部,2021-12-13,互動式查詢,年度別，縣市別，國籍別，性別
FALSE,人身安全與司法,家庭暴力,家庭暴力事件通報被害人教育程度統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=YZ2YZUeRsWtaZcewTIUlLA%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,衛生福利部,2021-12-13,互動式查詢,教育程度別，年度別，縣市別，性別
FALSE,人身安全與司法,家庭暴力,家庭暴力事件通報被害人職業統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=VUQr!4!uAfq7zTQ0CR47rg%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,衛生福利部,2021-12-13,互動式查詢,年度別，縣市別，職業別，性別
TRUE,人身安全與司法,家庭暴力,家庭暴力事件通報被害人年齡統計,2005-2023,r13342008_奚子翔,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=zAEhpoQODh1OBA8klG5naQ%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,衛生福利部,2021-12-13,互動式查詢,年齡別，年度別，縣市別，性別
FALSE,人身安全與司法,家庭暴力,家庭暴力加害人籍別統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=Fu00mBIpBnSjKuyQe9IBtg%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,衛生福利部,2021-12-13,互動式查詢,年度別，縣市別，國籍別，性別
FALSE,人身安全與司法,性侵害,性侵害事件通報被害人身心障礙別統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=Yz%24F5L!QAUQTihO1V8Rq8A%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,衛生福利部,2021-12-13,互動式查詢,年度別，障礙類別，性別
FALSE,人身安全與司法,性侵害,性侵害事件通報被害人年齡統計,2005-2013,B11104009_羅禕,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=cnujL3dbo2qWZux5VTc!bw%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,衛生福利部,2021-12-13,互動式查詢,年齡別，年度別，縣市別，性別
FALSE,人身安全與司法,性侵害,性侵害通報件次通報單位統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=9U2JP%244zxJZmQlGMQhtuIQ%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,衛生福利部,2021-12-13,互動式查詢,年度別，通報單位別
TRUE,人身安全與司法,性騷擾,性騷擾案件申訴調查結果當事人關係統計,,r11342036_楊貴智,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=dparuaAAmYlJ6vDRUwKSFg%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,衛生福利部,2021-12-13,互動式查詢,年度別，成立/不成立別，性騷擾兩造關係別
FALSE,人身安全與司法,性騷擾,性騷擾案件申訴調查結果行為態樣案件數統計,,,https://www.gender.ey.gov.tw/gecdb/Stat_Statistics_DetailData.aspx?sn=Nj4jPtrKdEsQxZ1waZtuCA%40%40&d=m9ww9odNZAz2Rc5Ooj%24wIQ%40%40,衛生福利部,2021-12-13,互動式查詢,年度別，成立/不成立別，性騷擾行為樣態別
